CO2ConcRCP45,CH4Conc,N2OConc
278.05158,721.89411,272.95961
278.10615,722.2557,272.97121
278.22039,722.97082,272.99419
278.34305,723.66792,273.01678
278.47058,724.34313,273.03903
278.60047,724.99526,273.06096
278.73275,725.62885,273.08257
278.86881,726.24956,273.10386
279.00907,726.85863,273.12486
279.15318,727.45484,273.14563
279.3018,728.03699,273.16621
279.4568,728.60387,273.1866
279.61808,729.15429,273.20677
279.78192,729.68703,273.22676
279.9432,730.2009,273.24665
280.0974,730.6922,273.26646
280.2428,731.1541,273.2862
280.38168,731.58425,273.30585
280.51832,731.98888,273.32543
280.6572,732.37758,273.345
280.8026,732.75995,273.36463
280.9568,733.14559,273.38432
281.11808,733.5441,273.40402
281.28192,733.96508,273.42378
281.4432,734.41811,273.44363
281.5982,734.91094,273.46365
281.74682,735.44542,273.48382
281.89093,736.01824,273.50412
282.03119,736.62566,273.52457
282.16725,737.26478,273.54523
282.29901,737.93271,273.56615
282.4268,738.62653,273.58733
282.55093,739.34336,273.60876
282.67123,740.08028,273.63046
282.7873,740.83442,273.65247
282.89901,741.60809,273.67485
283.00677,742.41328,273.69762
283.11093,743.25995,273.72076
283.21129,744.14594,273.74429
283.30737,745.06346,273.76825
283.39963,746.00472,273.79267
283.48978,746.96192,273.81758
283.57796,747.92726,273.84297
283.66116,748.89296,273.86887
283.73511,749.85122,273.89529
283.79676,750.79817,273.92226
283.84667,751.73895,273.94981
283.88853,752.68156,273.97794
283.92613,753.62843,274.00668
283.96267,754.57866,274.03605
284.00107,755.53133,274.06606
284.04267,756.48552,274.09675
284.08613,757.44032,274.12813
284.12853,758.39482,274.16024
284.16667,759.34809,274.19306
284.1982,760.29954,274.22661
284.22333,761.24938,274.2609
284.24427,762.19831,274.29596
284.26307,763.14684,274.33183
284.28133,764.09528,274.3685
284.30027,765.04391,274.40598
284.32,765.99304,274.4443
284.34,766.94296,274.48351
284.36,767.89398,274.52361
284.38,768.84639,274.56461
284.4,769.79844,274.6065
284.385,770.74504,274.64929
284.28,771.68313,274.69305
284.125,772.61538,274.73779
283.975,773.54693,274.78351
283.825,774.4829,274.83022
283.675,775.42843,274.87793
283.525,776.38866,274.92669
283.425,777.36871,274.97655
283.4,778.37371,275.02748
283.4,779.4118,275.07966
283.425,780.49406,275.13642
283.5,781.62403,275.2022
283.6,782.79322,275.27313
283.725,783.98863,275.3371
283.9,785.19726,275.38045
284.075,786.40611,275.3984
284.225,787.60219,275.4013
284.4,788.7725,275.40079
284.575,789.90404,275.40032
284.725,790.97924,275.42506
284.875,792.25,275.5
285,793.75,275.6
285.125,795.25,275.7
285.275,796.75,275.8
285.425,798,275.9
285.575,799.25,276
285.725,800.75,276.1
285.9,802.25,276.2
286.075,803.75,276.3
286.225,805.25,276.4
286.375,806.75,276.5
286.5,808.25,276.6
286.625,809.75,276.7
286.775,811.25,276.8
286.9,813,276.9
287,814.75,277
287.1,816.25,277.1
287.225,817.75,277.2
287.375,819.25,277.3
287.525,821,277.375
287.7,822.75,277.425
287.9,824.25,277.5
288.125,825.75,277.6
288.4,827.25,277.7
288.7,829,277.775
289.025,830.75,277.825
289.4,832.25,277.9
289.8,833.75,278
290.225,835.25,278.1
290.7,837,278.2
291.2,839,278.3
291.675,841,278.4
292.125,843,278.5
292.575,844.75,278.6
292.975,846.25,278.7
293.3,848,278.8
