CO2Emissions,CH4Emissions,N2OEmissions
0.003,0,0
0.008338296,1.9632619,0.005191085
0.013676593,2.4364481,0.010116813
0.019014889,2.911105,0.015042803
0.024353185,3.3872782,0.019969063
0.029691482,3.8650146,0.024895601
0.036029778,4.3443625,0.029822427
0.041368074,4.8253718,0.034749548
0.046706371,5.3080938,0.039676975
0.052044667,5.7925816,0.044604715
0.057382963,6.2788896,0.04953278
0.062721259,6.7670743,0.05446118
0.068059556,7.2571937,0.059389923
0.073397852,7.7493076,0.064319022
0.078736148,8.2434776,0.069248487
0.084074445,8.7397674,0.07417833
0.090412741,9.2382426,0.079108562
0.095751037,9.7389706,0.084039195
0.101089334,10.242021,0.088970241
0.10642763,10.747466,0.093901714
0.11176593,11.25538,0.098833627
0.11710422,11.765839,0.10376599
0.12244252,12.278921,0.10869883
0.12778082,12.794707,0.11363214
0.13311911,13.313282,0.11856595
0.13845741,13.834732,0.12350027
0.1447957,14.359145,0.12843512
0.150134,14.886613,0.13337052
0.1554723,15.417231,0.13830648
0.16081059,15.951096,0.14324301
0.16614889,16.488308,0.14818014
0.17148719,17.028971,0.15311788
0.17782548,17.573192,0.15805626
0.18316378,18.121081,0.16299529
0.18850207,18.672751,0.167935
0.19484037,19.228319,0.1728754
0.20017867,19.787906,0.17781651
0.20751696,20.351635,0.18275836
0.21185526,20.919636,0.18770098
0.21719356,21.49204,0.19264437
0.22253185,22.068984,0.19758858
0.22887015,22.650607,0.20253362
0.23420845,23.237055,0.20747952
0.23954674,23.828476,0.2124263
0.24488504,24.425025,0.217374
0.25022333,25.02686,0.22232264
0.25656163,25.634145,0.22727225
0.26189993,26.247048,0.23222285
0.26723822,26.865743,0.2371745
0.27257652,27.490408,0.2421272
0.27891482,28.12123,0.247081
0.28525311,28.758398,0.25203593
0.29159141,29.402108,0.25699203
0.2969297,30.052563,0.26194932
0.302268,30.709971,0.26690786
0.3076063,31.374548,0.27186767
0.31294459,32.046514,0.2768288
0.31928289,32.7261,0.28179128
0.32562119,33.413539,0.28675516
0.33095948,34.109076,0.29172049
0.33729778,34.81296,0.2966873
0.34263608,35.52545,0.30165564
0.34897437,36.246813,0.30662557
0.35431267,36.977321,0.31159712
0.35965096,37.717259,0.31657035
0.37098926,38.466917,0.32154532
0.37532756,39.226597,0.32652206
0.38066585,39.996609,0.33150065
0.38700415,40.777271,0.33648114
0.39234245,41.568914,0.34146358
0.39868074,42.371876,0.34644803
0.40801904,43.186509,0.35143456
0.41335733,44.013173,0.35642324
0.41969563,44.85224,0.36141413
0.42603393,45.704093,0.36640729
0.433372219,46.569129,0.3714028
0.439710519,47.447755,0.37640073
0.447048819,48.34039,0.38140115
0.453387109,49.247469,0.38640415
0.460725409,50.169439,0.3914098
0.470063709,51.106759,0.39641818
0.475401999,52.059904,0.40142938
0.483740299,53.029365,0.40644349
0.490078589,54.015644,0.41146059
0.498416889,55.019264,0.41648078
0.507755189,56.040759,0.42150415
0.500785689,56.46132,0.42740096
0.555622819,56.88188,0.46466062
0.556354489,57.302441,0.46477417
0.564817079,57.723001,0.46443647
0.564679249,58.143562,0.46327909
0.574934879,58.564122,0.46729312
0.581231999,58.984683,0.47126447
0.587232979,59.405243,0.47503119
0.597253889,59.825804,0.47876627
0.609966889,60.246364,0.48257672
0.623223598,59.614468,0.50499476
0.570716628,58.982573,0.47111281
0.57774912,58.350677,0.47444935
0.58613825,57.718781,0.47785801
0.59379536,57.086885,0.48144966
0.59691218,56.45499,0.48420454
0.60360622,55.823094,0.48472337
0.6072347,55.191198,0.48595323
0.61276645,54.559303,0.48686155
0.6166445,53.927407,0.48774355
0.64366524,56.683869,0.58501628
0.7403334,59.440331,0.66673981
0.76129965,62.196793,0.69637076
0.75771154,64.953255,0.7087503
0.77842647,67.709717,0.72034342
0.78787801,70.46618,0.74524338
0.79713853,73.222642,0.75633197
0.8050507,75.979104,0.7660459
0.82534752,78.735566,0.77491118
0.85724317,81.492028,0.78412129
0.89187292,84.359461,0.81157848
0.86066403,87.226893,0.78526034
0.88051762,90.094326,0.79255607
0.88712775,92.961758,0.7987505
0.8922361,95.829191,0.80453383
0.89814412,98.696624,0.82619361
0.91116314,101.56406,0.83219647
0.94173355,104.43149,0.83705812
0.94020019,107.29892,0.84143987
0.96775411,110.16635,0.84552548
0.98224854,111.52362,0.85098169
0.99719118,112.88089,0.85741997
0.9944033,114.23816,0.86475824
