,Atmos,Biomass,Ground,Sea
"(0.09999999999999998, 0.001224)",1227.1251477886794,642.592165798725,1592.9456922017744,518.0969479458213
"(0.09999999999999998, 0.00306)",1323.455544324756,646.9067128548784,1601.272626537231,409.1250700181349
"(0.09999999999999998, 0.004896)",1378.0822138720948,649.2181285469256,1605.8454180090007,347.6141933069789
"(0.22499999999999998, 0.001224)",1138.4366157123352,685.8569334673655,1688.25107237253,468.21533218276954
"(0.22499999999999998, 0.00306)",1210.5058208770008,693.7690164754966,1703.5438800728234,372.9412363096794
"(0.22499999999999998, 0.004896)",1251.933815387589,698.1076503714277,1712.1048452003786,318.61364277560506
"(0.35, 0.001224)",1068.9216326301412,720.4535542146704,1765.2991508804696,426.0856160097187
"(0.35, 0.00306)",1123.5108656587886,730.4718947197138,1784.7537940373375,342.02339931916003
"(0.35, 0.004896)",1155.216766335116,736.0709652560392,1795.8273963096124,293.6448258342325
"(0.475, 0.001224)",1013.7587329918339,748.4466106404758,1828.2558857500858,390.2987243526045
"(0.475, 0.00306)",1055.7545743569444,759.5508535559768,1849.9489224107392,315.50560341133996
"(0.475, 0.004896)",1080.3457234201342,765.8546182527958,1862.4775390164657,272.08207304560483
