totRadForcExclCO2AndAerosols,CO2RadForc,totRadForcAerosols
0,0,0
0.115653444,0.011049082,-0.000675976
0.251852421,0.023246047,-0.002066998
0.256772281,0.025605215,-0.003506856
0.21894257,0.028057033,-0.004954363
0.218662979,0.03055287,-0.006391459
0.259240629,0.033093627,-0.008191986
0.274128052,0.035705793,-0.009976755
0.263715683,0.038397133,-0.011356966
0.249641179,0.041160901,-0.01270254
0.238842165,0.044009648,-0.014012763
0.24516418,0.046979223,-0.015287343
0.272219646,0.050067292,-0.016526278
0.302402384,0.053202569,-0.017729763
0.310191962,0.05628708,-0.018898132
0.302471248,0.059234532,-0.02003182
0.293277521,0.06201229,-0.021567991
0.249428376,0.064664134,-0.02307257
0.132442595,0.067271913,-0.024109188
0.04546089,0.069921132,-0.025112828
0.115843943,0.072693308,-0.026084191
0.2409541,0.075631696,-0.027023976
0.302228607,0.078703283,-0.02793288
0.308758611,0.081821836,-0.028811597
0.195824757,0.084889902,-0.029660819
0.031526544,0.087836927,-0.030481228
0.049079212,0.090660982,-0.031720164
0.172332524,0.09339792,-0.032931794
0.23218477,0.096060423,-0.033670013
0.22747827,0.098642066,-0.034381886
0.190773442,0.1011408,-0.035068072
0.177218677,0.10356312,-0.035729227
0.192953549,0.10591503,-0.036812009
0.207144648,0.10819345,-0.037870688
0.213703669,0.11039084,-0.038459809
0.23042582,0.11250486,-0.03947085
0.251730578,0.11454316,-0.040459338
0.248292338,0.11651278,-0.041867498
0.232695799,0.1184099,-0.042811099
0.228873797,0.12022542,-0.042847477
0.22688789,0.1219681,-0.04330705
0.217079623,0.1236704,-0.044187553
0.207049891,0.12533497,-0.045048591
-0.288063492,0.12690511,-0.045450548
-1.432583888,0.12830042,-0.045834932
-1.835225463,0.12946317,-0.046202307
-1.039544299,0.1304044,-0.046988661
-0.362618293,0.13119381,-0.047758107
-0.161734092,0.13190268,-0.04807573
-0.683174499,0.13259134,-0.048378481
-2.146158602,0.13331508,-0.049097878
-2.647045861,0.13409903,-0.050231969
-1.477800511,0.13491805,-0.051347739
-0.349345887,0.13571684,-0.052018673
0.101159597,0.13643515,-0.052247777
0.227302718,0.13702906,-0.052465008
0.234152981,0.13750239,-0.052670881
0.236913494,0.13789659,-0.053287704
0.241604664,0.13825059,-0.054313124
0.250046637,0.13859452,-0.054904197
0.264208279,0.13895098,-0.055481569
0.282755463,0.13932247,-0.056048603
0.302280349,0.13969896,-0.056602739
0.31267249,0.14007543,-0.05714743
0.286334542,0.14045187,-0.057268842
0.07059477,0.14082828,-0.05983842
-0.321273268,0.14054596,-0.061985112
-0.427595945,0.1385692,-0.061662785
-0.135478426,0.1356501,-0.062147465
-0.285498133,0.13282363,-0.062625217
-0.886015654,0.12999566,-0.063093126
