"Date";"Comp1";"Comp2"
37410;66,5;132,5
37411;65,5;127,5
37412;66;131,5
37413;65,5;129
37414;65;121
37417;65;122,5
37418;67;129,5
37419;67;122
37420;67;121
37421;63,5;120,5
37424;63;126,5
37425;62;126
37426;62,5;122
37427;62;122
37431;61,5;112
37432;61;116,5
37433;60;120,5
37434;58,5;124
37435;60,5;133,5
37438;60,5;131,5
37439;59,5;125,5
37440;60;125,5
37441;60;132,5
37442;60,5;142
37445;62;140,5
37446;62;138
37447;61,5;131,5
37448;61,5;129,5
37449;60;129,5
37452;58;121,5
37453;57;126
37454;56;134
37455;58,5;128
37456;56;120,5
37459;51;117
37460;49,3;110,5
37461;45,7;108
37462;45,8;107
37463;44,5;108
37466;47;117
37467;50;117
37468;50,5;118
37469;49;110,5
37470;46,9;109,5
37473;45,2;103
37474;47,2;109
37475;48,2;110
37476;49,6;116,5
37477;50;123,5
37480;49;122
37481;49,5;121,5
37482;49,9;113,5
37483;49,9;122,5
37484;47,4;126,5
37487;47;133,5
37488;47,4;131
37489;50;133,5
37490;50,5;139,5
37491;50;134
37494;51,5;129,5
37495;53,5;134
37496;53;124,5
37497;51,5;123
37498;48;125,5
37501;49,5;122,5
37502;48,5;117,5
37503;48,5;119,5
37504;48,5;124
37505;47,7;130,5
37508;48,5;129,5
37509;47,4;129,5
37510;47,8;138
37511;46,5;132,5
37512;46,2;129,5
37515;45,5;125,5
37516;45,4;124,5
37517;43,7;117,5
37518;40,9;117
37519;40,6;118,5
37522;35,6;115
37523;34,5;113
37524;35,7;119,5
37525;36,5;132
37526;36,1;132,5
37529;36;122,5
37530;34,1;124,5
37531;34,6;131,5
37532;34,1;129,5
37533;32,2;122
37536;31,6;121
37537;31,9;121
37538;32,4;122
37539;34,6;128
37540;36;132,5
37543;38,8;131,5
37544;37,6;143
37545;38,2;136
37546;38,4;151
37547;38,1;152,5
37550;38;151
37551;38,2;153
37552;37,8;148
37553;36,3;154
37554;36,8;154
37557;40,6;157,5
37558;38,8;148,5
37559;42;154
37560;46;155
37561;49,4;151
37564;50,5;161,5
37565;49,5;165
37566;49;157,5
37567;50;153
37568;50;149
37571;48;144,5
37572;47,7;148
37573;47,5;155
37574;48,7;161,5
37575;48,8;161,5
37578;50;165,5
37579;49,5;160
37580;49,8;162,5
37581;53,5;172
37582;53,5;171,5
37585;51;173
37586;50;170
37587;51;176,5
37588;54,5;180
37589;55,5;175
37592;54,5;179,5
37593;50;169
37594;50;170,5
37595;52;165
37596;50;169,5
37599;49,5;162,5
37600;47,3;157
37601;46,1;155
37602;48,2;154,5
37603;48;152,5
37606;48,2;157,5
37607;46,3;154
37608;42,9;145
37609;44,4;144
37610;49,1;144,5
37613;48;144,5
37617;47,8;138
37620;48,4;138
37623;47,9;146,5
37624;48,2;147
37628;50;146
37629;48,8;137
37630;47,9;143,5
37631;48,4;143
37634;49;141,5
37635;49,9;145,5
37636;49,7;142
37637;50;135,5
37638;49,9;130,5
37641;51;129
37642;49,8;129,5
37643;48,8;130
37644;50,5;123,5
37645;51,5;125
37648;50,5;119
37649;50;118
37650;49,3;122,5
37651;49,9;125,5
37652;46,8;122
37655;48,2;124
37656;48,8;120
37657;49,4;121,5
37658;46,2;117
37659;45,5;116
37662;44,1;115,5
37663;45;122,5
37664;46,3;118,5
37665;42,1;114,5
37666;40,2;116
37669;40,5;121
37670;38,9;123
37671;37,9;118,5
37672;37,9;116
37673;37,8;116
37676;38,3;117
37677;36,3;110,5
37678;36,6;108
37679;36,3;109,5
37680;35,5;113,5
37683;36;114,5
37684;35,9;110,5
37685;36,6;111,5
37686;35,8;111,5
37687;34,2;106
37690;32,9;106
37691;33,5;107,5
37692;32,4;111,5
37693;33,4;117,5
37694;34,9;124
37697;34,8;129,5
37698;35,4;130
37699;35,7;130,5
37700;36,6;130
37701;36,8;135
37704;36,4;129
37705;35,8;130,5
37706;35,6;127,5
37707;35,4;128
37708;35,6;126
37711;35,4;118,5
37712;37,3;121
37713;40,2;128,5
37714;40,9;129
37715;42,3;128,5
37718;43,6;134,5
37719;43,8;129
37720;42,9;128
37721;42;122
37722;41,5;123
37725;42;124
37726;42,4;127,5
37727;42,4;125,5
37728;42,8;135
37733;43,1;137
37734;43,9;140
37735;43;136
37736;45,8;133
37739;45,8;137,5
37740;46,6;137,5
37741;46,2;138
37743;48,3;134
37746;48,2;136,5
37747;47,3;137
37748;47,4;137,5
37749;47,2;133,5
37750;46,9;134
37753;46,8;137
37754;46,3;140
37755;46,1;138
37756;45,8;141
37757;45,7;140
37760;45,4;133,5
37761;44,9;131
37762;44,2;127,5
37763;44,4;132
37764;44,1;130
37767;44;129
37768;44,6;129,5
37769;44,6;137
37771;45;139,5
37774;45,2;142,5
37775;45,3;140,5
37776;45,4;139,5
37777;45,5;136
37778;46,3;140,5
37782;45,9;136,5
37783;46,8;137
37784;46,2;134,5
37785;45,8;131
37788;46,7;133,5
37789;48,1;135
37790;49,1;136,5
37791;49,2;138
37795;49,9;134,5
37796;49,3;134
37797;50;135
37798;51;136
37799;52;136
37802;53;131
37803;51;129,5
37804;51,5;132
37805;54;132
37806;55;130,5
37809;55,5;137
37810;58;138
37811;56,5;144
37812;56;145,5
37813;52,5;143
37816;53,5;145
37817;53;144
37818;52,5;143,5
37819;51,5;122,5
37820;52;121,5
37823;52,5;118
37824;52;120
37825;51,5;119,5
37826;52;122,5
37827;53;120,5
37830;54;124
37831;52,5;123,5
37832;53;124,5
37833;53;126,5
37834;52,5;122
37837;52;120
37838;53;119,5
37839;52;114
37840;53;115,5
37841;55;115,5
37844;54,5;118
37845;56;119
37846;57;120
37847;57,5;121
37848;56,5;120
37851;58,5;122
37852;59,5;127,5
37853;58;128,5
37854;57;130
37855;58;132
37858;57,5;130,5
37859;54,5;131,5
37860;56;136
37861;55;137,5
37862;56;137
37865;57;137,5
37866;58;137
37867;59;140,5
37868;57,5;139,5
37869;57,5;137,5
37872;57;139
37873;58,5;132
37874;58,5;126
37875;59;124,5
37876;59;125,5
37879;59,5;126,5
37880;59;127
37881;58;125,5
37882;57;127
37883;56;126
37886;54,5;123
37887;53,5;120,5
37888;53,5;119
37889;53;118
37890;53,5;119,5
37893;52;121
37894;52,5;120,5
37895;53,5;122,5
37896;54,5;125
37897;56;130,5
37900;55;129
37901;54,5;128
37902;56;128
37903;56;132
37904;55,5;131
37907;55,5;133
37908;55,5;131
37909;56;132
37910;55;127,5
37911;54;131,5
37914;54,5;131
37915;53,5;132,5
37916;53;129,5
37917;52;128,5
37918;57;129,5
37921;57,5;130
37922;59;131
37923;59;132
37924;59,5;132
37925;58,5;132,5
37928;58;135,5
37929;59;134,5
37930;59,5;133,5
37931;60;136
37932;61,5;138
37935;60,5;135
37936;59,5;134
37937;59,5;136
37938;60;137
37939;60;136,5
37942;59;132,5
37943;59,5;134
37944;59;132
37945;59,5;133
37946;58,5;133,5
37949;61;138
37950;61,5;136
37951;61;136
37952;62,5;136,5
37953;62,5;136
37956;62,5;136
37957;62;135,5
37958;61,5;134,5
37959;62;137
37960;62;134
37963;59,5;130,5
37964;61;129
37965;61;129
37966;62;129,5
37967;62,5;129
37970;62,5;130
37971;60;128
37972;60;125
37973;60;126
37974;58,5;127,5
37977;60;125
37978;60,5;125,5
37984;59,5;123,5
37985;59,5;124,5
37988;60;124,5
37991;60;125
37993;61,5;128
37994;60,5;145,5
37995;60,5;147,5
37998;60;149
37999;60,5;148,5
38000;60,5;152,5
38001;60,5;150,5
38002;60;153,5
38005;62;154,5
38006;61,5;153
38007;61,5;149
38008;63,5;152,5
38009;63;154,5
38012;64,5;154
38013;65;154,5
38014;64,5;153,5
38015;63,5;151
38016;65,5;152,5
38019;66;154
38020;65,5;153,5
38021;65,5;151
38022;63,5;150
38023;64;152
38026;64;155
38027;60,5;158,5
38028;60,5;161
38029;59;161,5
38030;59;159
38033;60;160,5
38034;60,5;162,5
38035;60,5;163,5
38036;61;165
38037;59,5;163
38040;60;166,5
38041;59;161,5
38042;59;162
38043;61;163,5
38044;62;163
38047;62,5;163,5
38048;61;167,5
38049;61,5;168
38050;60,5;170,5
38051;61;171,5
38054;59,5;173
38055;59,5;167,5
38056;58,5;166
38057;58;160
38058;58,5;161,5
38061;59;155,5
38062;59;157,5
38063;60;161,5
38064;58,5;154,5
38065;57,5;153,5
38068;56,5;147,5
38069;56,5;147
38070;57,5;149
38071;57;152,5
38072;55,5;151
38075;55;153,5
38076;55;151
38077;56,5;153
38078;58;155,5
38079;57;159,5
38082;56,5;160,5
38083;57,5;133
38084;58;128
38085;58,5;128,5
38090;58,5;129,5
38091;57,5;127,5
38092;60;124
38093;61;114
38096;60;116
38097;60,5;117
38098;63;115
38099;63,5;117
38100;65;116,5
38103;64,5;116,5
38104;65;115
38105;65;112,5
38106;66;110,5
38107;66,5;108
38110;68,5;108,5
38111;68,5;106,5
38112;68;108
38113;67;106,5
38114;67;107,5
38117;66;104,5
